source,result,postal_code,country,country_iso_code,federal_district,region_fias_id,region_kladr_id,region_iso_code,region_with_type,region_type,region_type_full,region,area_fias_id,area_kladr_id,area_with_type,area_type,area_type_full,area,city_fias_id,city_kladr_id,city_with_type,city_type,city_type_full,city,city_area,city_district_fias_id,city_district_kladr_id,city_district_with_type,city_district_type,city_district_type_full,city_district,settlement_fias_id,settlement_kladr_id,settlement_with_type,settlement_type,settlement_type_full,settlement,street_fias_id,street_kladr_id,street_with_type,street_type,street_type_full,street,house_fias_id,house_kladr_id,house_cadnum,house_type,house_type_full,house,block_type,block_type_full,block,entrance,floor,flat_fias_id,flat_cadnum,flat_type,flat_type_full,flat,flat_area,square_meter_price,flat_price,postal_box,fias_id,fias_code,fias_level,fias_actuality_state,kladr_id,capital_marker,okato,oktmo,tax_office,tax_office_legal,timezone,geo_lat,geo_lon,beltway_hit,beltway_distance,qc_geo,qc_complete,qc_house,qc,unparsed_parts,metro,med_id_1,med_id_1_division_data_id,med_id_1_name_full,med_id_1_name_short,med_id_1_division_name,med_id_1_division_house_fias,med_id_1_division_house_geo_lat,med_id_1_division_house_geo_lot,med_id_1_division_qc_geo,med_id_1_division_type,med_id_1_division_zone,,uchastok,color
Челябинск Челябинск Энгельса 48 ,г Челябинск, ул Энгельса, д 48,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,bf1a09de-98a5-419f-8457-11570346d732,"7,40000010001173E+018",,д,дом,48,,,,,,,,,,,,53555,,,bf1a09de-98a5-419f-8457-11570346d732,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1506022,61.3791447,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Энгельса 50 ,г Челябинск, ул Энгельса, д 50,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,5a540a70-ecab-45e4-9f8d-3abce8308273,"7,40000010001173E+018",,д,дом,50,,,,,,,,,,,,39206,,,5a540a70-ecab-45e4-9f8d-3abce8308273,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1502018,61.3800296,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Энгельса 52 ,г Челябинск, ул Энгельса, д 52,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,93afddc6-78d7-45d7-aa2a-d0534889b022,"7,40000010001173E+018",74:36:0515006:1249,д,дом,52,,,,,,,,,,,,55339,,,93afddc6-78d7-45d7-aa2a-d0534889b022,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1496155,61.3800191,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Энгельса 54 ,г Челябинск, ул Энгельса, д 54,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,17855a9a-39dd-4adc-b557-9fa5a5ddca9b,"7,40000010001173E+018",,д,дом,54,,,,,,,,,,,,64435,,,17855a9a-39dd-4adc-b557-9fa5a5ddca9b,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1493218,61.3792339,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Энгельса 56 ,г Челябинск, ул Энгельса, д 56,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,2fbc8f11-c0f9-43b1-894d-f88726123ca3,"7,40000010001173E+018",,д,дом,56,,,,,,,,,,,,49534,,,2fbc8f11-c0f9-43b1-894d-f88726123ca3,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.148967,61.3800863,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Энгельса 58 ,г Челябинск, ул Энгельса, д 58,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,2e28b67f-f38f-4fe7-9663-b0f9a30412e8,"7,40000010001173E+018",,д,дом,58,,,,,,,,,,,,56416,,,2e28b67f-f38f-4fe7-9663-b0f9a30412e8,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.148358,61.3797869,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Энтузиастов 23А,г Челябинск, ул Энтузиастов, д 23А,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,40000010001176E+016",ул Энтузиастов,ул,улица,Энтузиастов,,,,д,дом,23А,,,,,,,,,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,4000001E+022",7,0,"7,40000010001176E+016",2,75401386000,75701390,7453,7453,UTC+5,55.1495316,61.3767264,,,1,10,10,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),,
Челябинск Челябинск Энтузиастов 25А,г Челябинск, ул Энтузиастов, д 25А,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,40000010001176E+016",ул Энтузиастов,ул,улица,Энтузиастов,8d1371d9-fe97-44b3-b659-8e9ee224aefc,"7,40000010001176E+018",,д,дом,25А,,,,,,,,,,,,48833,,,8d1371d9-fe97-44b3-b659-8e9ee224aefc,"7,4000001E+022",8,0,"7,40000010001176E+018",2,75401386000,75701390,7453,7453,UTC+5,55.149244,61.377518,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Энтузиастов 29А,г Челябинск, ул Энтузиастов, д 29А,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,40000010001176E+016",ул Энтузиастов,ул,улица,Энтузиастов,62dbeda3-393b-4bf2-bc43-9b5745a45833,"7,40000010001176E+018",,д,дом,29А,,,,,,,,,,,,74668,,,62dbeda3-393b-4bf2-bc43-9b5745a45833,"7,4000001E+022",8,0,"7,40000010001176E+018",2,75401386000,75701390,7453,7453,UTC+5,55.148539,61.377607,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Энгельса 46Б,г Челябинск, ул Энгельса, д 46Б,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,5738a864-acaa-4be0-8807-00874493e389,"7,40000010001173E+018",,д,дом,46Б,,,,,,,,,,,,46186,,,5738a864-acaa-4be0-8807-00874493e389,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1512885,61.3789916,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),13,lavender
Челябинск Челябинск Образцова 26А,г Челябинск, ул Образцова, д 26А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,e663175b-05b8-4f51-9674-db4072bad379,"7,4000001000067E+016",ул Образцова,ул,улица,Образцова,863613c9-a4ea-4a89-b8a8-bada7bd84c02,"7,4000001000067E+018",,д,дом,26А,,,,,,,,,,,,74036,,,863613c9-a4ea-4a89-b8a8-bada7bd84c02,"7,4000001E+022",8,0,"7,4000001000067E+018",2,75401386000,75701390,7453,7453,UTC+5,55.146105,61.369336,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),,
Челябинск Челябинск Татьяничевой 15 ,г Челябинск, ул Татьяничевой, д 15,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,de0fa185-71d9-4fd4-9ea1-01cd56ff4581,"7,40000010000965E+018",,д,дом,15,,,,,,,,,,,,34222,,,de0fa185-71d9-4fd4-9ea1-01cd56ff4581,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1469526,61.3686472,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 17 ,г Челябинск, ул Татьяничевой, д 17,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,ddf55fcf-28fd-48e3-9a07-1c30fb8d66e4,"7,40000010000965E+018",,д,дом,17,,,,,,,,,,,,43186,,,ddf55fcf-28fd-48e3-9a07-1c30fb8d66e4,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1461688,61.3686279,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 22 ,г Челябинск, ул Татьяничевой, д 22,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,cbc06418-65ca-4255-9b48-d71639aed538,"7,40000010000965E+018",74:36:0513001:203,д,дом,22,,,,,,,,,,,,,,,cbc06418-65ca-4255-9b48-d71639aed538,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.146275,61.367942,,,1,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),,
Челябинск Челябинск Татьяничевой 24 ,г Челябинск, ул Татьяничевой, д 24,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,1345c63e-6381-4f7e-881d-d069f4dd8372,"7,40000010000965E+018",74:36:0513001:61,д,дом,24,,,,,,,,,,,,,,,1345c63e-6381-4f7e-881d-d069f4dd8372,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1454624,61.3681553,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 26 ,г Челябинск, ул Татьяничевой, д 26,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,c307bdf2-5d88-463f-997c-94e4652ba961,"7,40000010000965E+018",,д,дом,26,,,,,,,,,,,,,,,c307bdf2-5d88-463f-997c-94e4652ba961,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.14547,61.368244,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 28 ,г Челябинск, ул Татьяничевой, д 28,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,b0174c6f-fcfa-426d-8556-ffdea0e91fb1,"7,40000010000965E+018",74:36:0000000:15727,д,дом,28,,,,,,,,,,,,,,,b0174c6f-fcfa-426d-8556-ffdea0e91fb1,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1446989,61.3680589,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 30 ,г Челябинск, ул Татьяничевой, д 30,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,93809e06-441c-4e53-a5c5-4c172a127ee8,"7,40000010000965E+018",,д,дом,30,,,,,,,,,,,,,,,93809e06-441c-4e53-a5c5-4c172a127ee8,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1449563,61.3682287,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 32 ,г Челябинск, ул Татьяничевой, д 32,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,13ecc9d1-f1de-48f0-9809-c78692a8bdc4,"7,40000010000965E+018",,д,дом,32,,,,,,,,,,,,,,,13ecc9d1-f1de-48f0-9809-c78692a8bdc4,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1444516,61.3680907,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 34 ,г Челябинск, ул Татьяничевой, д 34,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,2e09029e-effc-464f-871f-cfa86af9d10e,"7,40000010000965E+018",74:36:0000000:15718,д,дом,34,,,,,,,,,,,,,,,2e09029e-effc-464f-871f-cfa86af9d10e,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1443562,61.3681555,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 36 ,г Челябинск, ул Татьяничевой, д 36,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,b0955d56-5464-4996-9412-49096b9f24b5,"7,40000010000965E+018",,д,дом,36,,,,,,,,,,,,,,,b0955d56-5464-4996-9412-49096b9f24b5,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.143463,61.368355,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Татьяничевой 38 ,г Челябинск, ул Татьяничевой, д 38,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4dbcad5c-a418-4b78-8726-34f98eed5d0b,"7,40000010000965E+016",ул Татьяничевой,ул,улица,Татьяничевой,4f2e1ca4-6fc0-4423-9f05-4ad4b1fe7947,"7,40000010000965E+018",74:36:0000000:47758,д,дом,38,,,,,,,,,,,,,,,4f2e1ca4-6fc0-4423-9f05-4ad4b1fe7947,"7,4000001E+022",8,0,"7,40000010000965E+018",2,75401386000,75701390,7453,7453,UTC+5,55.14347,61.368023,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
Челябинск Челябинск Худякова 19 ,г Челябинск, ул Худякова, д 19,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,7f82c30f-b123-44cf-bda3-0bffaa6f56c3,"7,40000010001084E+016",ул Худякова,ул,улица,Худякова,567fe6b0-0d18-4e97-8bbe-e0203d46915a,"7,40000010001084E+018",,д,дом,19,,,,,,,,,,,,43179,,,567fe6b0-0d18-4e97-8bbe-e0203d46915a,"7,4000001E+022",8,0,"7,40000010001084E+018",2,75401386000,75701390,7453,7453,UTC+5,55.147108,61.3726624,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),14,plum
